PuzzleId,FEN,Moves,Rating,Themes
R0gaB,6r1/5Rpk/4Q2p/2q5/5PPK/7P/8/8 w - - 5 46,f7f5 c5f2 h4h5 g7g6 e6g6 g8g6,1158,crushing endgame fork long
rhkhk,rnbq1r2/p3ppk1/2p3p1/3p3p/1p1Pn2P/4QP1N/PPP1B1P1/R2NK2R b KQ - 0 13,e4g3 e3e5 g7g8 e5g3,1158,advantage fork master opening short
dNuxK,8/8/3pk3/1Pn5/P2Q4/3n2P1/5r2/6K1 b - - 0 44,f2e2 d4g4 e6d5 g4e2,1158,crushing endgame fork short
8GdEC,r1bq3k/1p4pp/p2b1r2/3B4/P2Q1P2/7P/1B6/3R1RK1 b - - 1 20,d8c7 d4f6 g7f6 b2f6 c7g7 f6g7,1159,crushing long middlegame sacrifice
7Ui40,8/8/8/7R/6Pp/6kP/4r3/6K1 w - - 9 66,g4g5 e2e1,1161,endgame mate mateIn1 oneMove rookEndgame
KC9m2,r1q1r3/2p1p1k1/3p1ppN/1b1P2N1/pp1QP1BP/2n5/2P5/2K3R1 w - - 2 36,g4c8 c3e2 c1b1 e2d4,1162,advantage fork middlegame short
9Uf7X,r5k1/p3qR2/1p1pN2p/2pPn1pB/2b1Q3/2P3P1/P5P1/6K1 b - - 1 26,e5f7 e4g6 g8h8 g6g7,1162,kingsideAttack mate mateIn2 middlegame short
PLSKP,4b3/5p2/2k4p/2b5/2B5/p1N5/4KPPP/8 b - - 7 41,f7f5 c4b5 c6d6 b5e8,1162,crushing endgame master short skewer
UXOxl,8/7p/6q1/1p4p1/1B2P1Pk/7P/7K/8 b - - 0 44,g6b6 b4e1 b6f2 e1f2,1163,endgame mate mateIn2 short
mMvo3,4r1k1/1p2r1p1/p3R1Qp/3p1p2/3P4/1Pq5/P4PPP/4R1K1 w - - 0 24,e6e7 c3e1 e7e1 e8e1,1166,backRankMate endgame mate mateIn2 short xRayAttack
HgWWk,4Q1k1/p4pp1/7p/1P6/8/q5P1/2r2P1P/5BK1 b - - 1 29,g8h7 e8e4 g7g6 e4c2,1166,crushing endgame fork short
EE7CO,5k2/r4q2/p6p/1p1Bb3/6rB/P3Q3/1PP3P1/2K5 w - - 0 31,d5f7 e5f4 e3f4 g4f4,1166,crushing endgame pin short
FRvup,r1bq1rk1/pp1n2p1/2n1QP1p/3p4/5b2/1NPB1N2/PP3PPP/R4RK1 b - - 0 14,g8h8 f6g7 h8g7 e6g6 g7h8 g6h7,1167,advancedPawn attraction kingsideAttack long mate mateIn3 middlegame
pxjox,2k5/Qp5p/p1pqp1p1/3b2B1/8/3P4/PP4PP/5K2 b - - 2 29,d6b4 a7a8 c8c7 a8d8,1168,dovetailMate endgame mate mateIn2 short
puR37,rn1qkbnr/pp2pppp/2p3b1/8/4N3/3B1N2/PPP2PPP/R1BQR1K1 b kq - 5 8,b8d7 e4d6,1169,mate mateIn1 oneMove opening pin smotheredMate
ibeYr,1r1n1r1k/1bqnb1pp/8/p1pBPp2/1pPp1P1N/3P4/PP1N2QP/R1B2RK1 b - - 5 20,d7b6 h4g6 h7g6 g2h3 e7h4 h3h4,1169,kingsideAttack long mate mateIn3 middlegame sacrifice
SDZJ2,6k1/5p1p/8/3pN1pn/1B6/P4P2/6rr/3RRK2 w - - 4 42,e5g4 h5g3,1170,mate mateIn1 middlegame oneMove
TDtOh,r3r1b1/pp4k1/3qpnpp/3p4/3P1N1P/4R1Q1/PPP2PP1/R5K1 b - - 2 23,g8f7 f4h5 f6h5 g3d6,1171,crushing discoveredAttack middlegame pin short
MR9qa,2r2k2/5p2/3p1Np1/p3p1P1/Pn1b4/1P5Q/8/1K6 b - - 4 38,c8c2 h3h8 f8e7 h8e8,1171,endgame master masterVsMaster mate mateIn2 short
ZQZXG,3r1r2/pp3bk1/2p3B1/5PR1/3P4/7R/n6P/6K1 b - - 0 31,f7g6 g5g6 g7f7 h3h7 f7e8 g6e6,1171,endgame epauletteMate exposedKing long mate mateIn3
yebYx,2r2r2/4kp1Q/2pq1p2/p3pP2/3pP3/3P4/PPR3PP/2R3K1 w - - 5 24,c2c5 f8h8 h7g7 c8g8 g7h8 g8h8,1172,clearance crushing endgame long trappedPiece
0b88m,5rk1/8/3R2pB/8/1pP1p3/6P1/1r4K1/5N2 w - - 2 42,g2h3 f8f1 d6d8 g8h7,1172,advantage endgame hangingPiece master short
uc9ZB,5k2/r3p3/b2p2p1/2pP4/2q1n3/2P1B3/P1Q2PP1/R3K2R w KQ - 0 22,h1h4 c4f1,1174,mate mateIn1 middlegame oneMove
PIOx3,3r4/8/2K5/3N4/8/5k2/4p3/R7 w - - 2 56,d5c3 d8c8 c6b6 c8c3,1174,crushing endgame master short skewer
DKNaR,3r1rk1/ppp3pp/1bn2n2/4p3/4qp2/2PB1N1P/PPQ2PP1/R1BR2K1 b - - 1 18,e4d5 d3h7 f6h7 d1d5,1175,crushing discoveredAttack kingsideAttack middlegame short
541ps,r2qr1k1/1pp1bp2/p2p1n1Q/3Pp1NB/3n4/P2P3P/1PP2PP1/R4RK1 b - - 2 16,d4f5 h5f7,1175,kingsideAttack mate mateIn1 middlegame oneMove
gWHXf,8/nBBb4/2p5/P2p2k1/1P1Pp1p1/2K1PnN1/8/8 w - - 10 52,a5a6 a7b5 c3c2 b5c7,1175,crushing endgame fork master short
ml7Ga,2r3r1/p7/1k2N3/1p2P3/2n2P2/P1R1p1P1/2P4P/R5K1 w - - 1 28,g1f1 c4d2 f1g2 c8c3,1176,crushing discoveredAttack endgame master short
KovgF,r3k1n1/ppp2pp1/2pb2p1/4P3/3P1BPq/2P5/PP3P2/RN1Q1RKr w q - 3 14,g1g2 h4h3,1177,mate mateIn1 middlegame oneMove
WFP4A,1k3r1r/ppq3p1/2p1B3/4n2p/2Pb1Qn1/2N1B3/PP3PPP/3R1RK1 w - - 9 19,f4d4 e5f3 g2f3 c7h2,1177,discoveredAttack kingsideAttack mate mateIn2 middlegame sacrifice short
wR1AX,4r1k1/pp3ppp/1q6/4r3/2Qp4/1P4PP/P5P1/R4RK1 b - - 1 27,e5e2 c4f7 g8h8 f7f8 e8f8 f1f8,1177,backRankMate endgame long mate mateIn3 sacrifice
TuSGw,2r3k1/6p1/Q2n1p1p/2qPp3/2P5/P1R1P2P/1r4P1/2R4K b - - 1 29,d6f5 a6e6 g8f8 e6f5,1177,advantage fork middlegame short
TxLbT,r1r3k1/3qp3/pp1p1pbN/4n1Q1/P5p1/2P1B3/6PP/4RR1K b - - 1 25,g8f8 f1f6 e7f6 g5f6,1177,advantage middlegame sacrifice short
X6cv1,r1bq2k1/1p3pp1/p4n1p/4r3/3p4/P1NBP1P1/1P1RQPP1/2K4R b - - 1 18,d4c3 d3h7 g8h7 d2d8,1178,advantage discoveredAttack middlegame short
VUDJo,6k1/pp3pp1/7p/4n2P/P7/1BP5/3r1P1P/5RK1 w - - 1 29,f1e1 e5f3 g1f1 f3e1,1180,crushing endgame fork short
vw1LS,r2q1rk1/pbp2pp1/1p3n1p/4N3/4P3/3B4/PPP2PPP/R2Q1RK1 w - - 1 14,f2f3 d8d4 g1h1 d4e5,1180,crushing fork middlegame short
fjAV1,7k/2p3p1/8/2q1p3/4P3/2P2PBP/R3Q1P1/1rr1N1K1 w - - 1 39,g3f2 c1e1 g1h2 e1e2 a2a8 h8h7,1180,crushing defensiveMove long middlegame pin
vyrEh,3k3r/1Qp2ppp/p3p3/3n4/3P4/q2P1N2/3b1PPP/5RK1 b - - 0 21,a3b4 b7a8 d8e7 a8h8,1181,advantage middlegame short skewer
v7gKl,r3r1k1/ppp2ppp/2n5/2b5/3N3q/1BP2Q1b/PP5P/R1B3RK b - - 4 15,c6d4 f3f7 g8h8 f7g7,1181,kingsideAttack mate mateIn2 middlegame short
vnG57,r1b2rk1/ppp2ppp/3p1n2/8/3q1P2/3B4/PPP3PP/R1BQ1R1K b - - 3 13,f6g4 d3h7 g8h7 d1d4,1182,crushing discoveredAttack kingsideAttack middlegame short
mXZvx,8/R4pkp/3b1r2/8/2B2P2/4pKP1/8/8 w - - 4 51,f3e3 d6c5 e3e2 c5a7,1182,advantage endgame fork master short
GK2rI,1r3k1r/p1p2pNp/2qb1n2/4p3/3pP3/3P1Q1P/PPP2PP1/R1B1K2R w KQ - 1 14,f3f6 d6b4 e1e2 c6f6,1184,advantage discoveredAttack middlegame short
8IAXC,8/4b1B1/6p1/2pk2P1/1p1p1P2/1P2pK2/r1P4R/8 b - - 4 52,e7d6 c2c4 d4c3 h2a2,1185,advantage discoveredAttack endgame master short
8WDr6,5rk1/3R1ppp/1q6/p7/5Q2/8/1r4PP/5R1K b - - 1 29,b6c6 f4f7 f8f7 d7d8 c6e8 d8e8 f7f8 f1f8,1186,endgame mate mateIn4 sacrifice veryLong
q890e,4Q3/7p/1p1k4/4p1p1/1P1b1r2/6K1/P5PP/8 w - - 2 28,a2a4 d4f2 g3h3 g5g4,1189,endgame mate mateIn2 short
LKG62,6k1/8/P1R3p1/8/2P4p/1K6/1P4r1/6b1 b - - 0 46,g2e2 c6g6 g8f7 g6g1,1189,crushing endgame fork short
Z0uLE,1r3rk1/5pp1/5n2/3p1N2/1p3BPQ/2q2R2/7P/6K1 b - - 0 34,c3f3 f5e7,1189,mate mateIn1 middlegame oneMove
ns0QZ,3r2k1/pp3rpp/6q1/2BQ4/8/8/PPP2nPP/3RR1K1 b - - 0 22,d8d5 e1e8 f7f8 e8f8,1190,mate mateIn2 middlegame short
qJLmk,4k2r/pp3ppp/5n2/1b6/1q6/1P2PK1P/P2Q1PP1/RNr2B1R b k - 5 16,b4d2 f1b5 e8e7 b1d2,1191,advantage hangingPiece intermezzo middlegame short
obdru,8/4r3/R1k5/1pp5/2n3P1/2N4P/8/6K1 b - - 1 57,c4b6 a6b6 c6b6 c3d5 b6a5 d5e7,1191,attraction crushing endgame fork long sacrifice
YunQY,3r1rk1/p3qpp1/2n1p2p/1R6/2N1P3/PP4P1/4QPKP/2R5 w - - 1 25,c4a5 c6d4 e2d3 d4b5,1192,advantage fork master middlegame short
EL1iZ,8/ppkn4/2p3q1/8/8/2P2Q2/PPKN1RP1/7r w - - 11 41,f3d3 h1c1 c2c1 g6d3,1193,advantage deflection endgame short
ddo8Q,2r4k/4q1QP/5n1P/2p5/1p3p2/3B4/1PP5/1K4R1 b - - 2 36,e7g7 h6g7,1195,advancedPawn endgame master mate mateIn1 oneMove
QwEDq,8/8/8/8/2r2p2/5K2/R7/4k3 b - - 14 76,e1f1 a2a1 c4c1 a1c1,1196,endgame master mate mateIn2 rookEndgame short
Giark,2k2r2/ppp5/8/8/8/3R1pP1/PPP1rP1K/3R4 w - - 6 27,d1d2 f8h8 h2g1 e2e1,1198,endgame mate mateIn2 rookEndgame short
VCjoJ,8/r3P1pk/7p/3p1N2/2pP4/2n1K3/1p6/r4RR1 b - - 0 51,a1f1 g1g7 h7h8 e7e8q,1200,advancedPawn endgame mate mateIn2 promotion short
DoR0B,4r1k1/p1R1Pp2/1p3np1/8/1PB1qQ2/P3P1Pp/7P/6K1 w - - 7 32,f4f6 e4g2,1200,endgame master mate mateIn1 oneMove
i2V40,2kr1b1r/pbpqn1pp/1p1p4/3n1p1P/2PN1P2/1P4P1/PB4B1/RN1Q1RK1 b - - 0 15,d5e3 g2b7 c8b7 d1f3 d6d5 f3e3,1201,advantage attraction fork long middlegame
McCpN,8/pp1Nk1pp/1b5n/3R1p2/1P6/PQr1qB1K/7P/7R w - - 2 28,d5e5 e3e5 d7e5 c3b3,1202,advantage middlegame pin short
0CX21,5rk1/4Qp2/p3p1p1/7p/P2q4/8/1P1K1P1P/R2R4 w - - 8 34,d2c2 f8c8 c2b1 d4d1,1203,crushing deflection endgame short
dqfvX,r1b2rk1/pp1nb1pp/1q2p3/3pP3/3N4/3B2P1/PP4KP/R1BQ2NR b - - 0 14,b6d4 d3h7 g8h7 d1d4,1204,crushing discoveredAttack kingsideAttack opening short
ILLn5,8/5nkp/4p1p1/1pQ1Pp2/1B3P2/1q2P1P1/5K2/8 b - - 1 37,b3b2 f2f3 g7h6 c5f8 h6h5 f8f7,1204,crushing defensiveMove endgame fork long
p2NNz,5b2/4kP2/p1p5/4NB2/PP2P2r/2P5/7p/7K b - - 0 45,h4f4 e5g6 e7f7 g6f4,1205,crushing endgame fork master short
iqTc5,4k2r/pp3ppp/2r1p3/2qp4/QP6/2P5/P4PPP/1R3RK1 b k - 0 20,b7b5 b4c5 b5a4 b1b8 e8e7 b8h8,1207,advantage clearance endgame long skewer
go5g9,8/2p2ppp/2pk4/8/rPR1PP2/8/6PP/6K1 b - - 0 28,c6c5 b4c5 d6c6 c4a4,1207,crushing discoveredAttack endgame rookEndgame short
Cx4XL,2r2r1k/4N3/p5Qp/2p5/Pppb1q2/3n2R1/1P3PPK/3R4 b - - 8 30,d4f2 g6g7,1208,master mate mateIn1 middlegame oneMove
fNJW4,r5r1/1pQn4/pnpBpk2/q2p1p2/3P4/PRPBP2P/2PK1PP1/1R6 w - - 15 27,d6b4 b6c4 d3c4 a5c7,1208,advantage discoveredAttack middlegame short
IF8Dl,r2q2k1/1Qp2pp1/3P4/p5Np/5p2/7P/P4PP1/6K1 b - - 0 32,a8b8 d6c7 d8c7 b7c7,1210,advancedPawn crushing endgame fork short
5RxTL,2r3k1/1Qr2p1p/3p2p1/4b3/8/8/P4P2/1K2R2R w - - 1 29,b7e4 c8b8 e4b4 b8b4,1212,endgame mate mateIn2 pillsburysMate short
N23nc,6k1/1R3b2/2B2p1p/r4P2/4K1P1/8/7P/8 w - - 1 40,c6d7 f7d5 e4d4 d5b7,1215,crushing endgame fork short
4vWIe,5rk1/1R6/4R3/2P3P1/PP5P/1r2pK2/8/8 w - - 2 54,f3e2 f8f2 e2d1 b3b1,1215,endgame mate mateIn2 rookEndgame short
ZBkYa,3r2k1/2r2pp1/2Q4p/p3p3/3bP3/6P1/PPP1q2P/R4R1K w - - 0 27,c6c7 e2e4 f1f3 e4f3,1217,endgame mate mateIn2 short
HXUCV,5r2/ppp4k/3p1qpP/3P4/5RQ1/2P5/PPB5/K7 b - - 0 33,f6f4 g4g6 h7h8 g6h7,1218,endgame mate mateIn2 short
McwVN,8/p5qp/1pP1Qb2/1P3p1k/1P2pp2/B3P3/7P/5K2 b - - 8 38,g7g4 e6f7 h5h6 f7f6,1220,advantage endgame fork short
KDyrv,8/p1R5/4r1k1/n5p1/P3P1N1/4K3/8/8 b - - 3 45,a5c6 c7c6 e6c6 g4e5 g6g7 e5c6,1220,attraction crushing endgame fork long sacrifice
98q0A,6rk/8/3Pp1qP/1p2Pp2/2p2Q1b/2P1BR2/PP4K1/8 w - - 0 36,g2f1 g6g2,1221,endgame mate mateIn1 oneMove
FFLOC,rr4k1/5pp1/p3p3/q2p2NQ/7P/1Nb5/P4PP1/K1R4R w - - 0 22,a1b1 b8b3 a2b3 a5a1 b1c2 a1b2 c2d3 b2d2,1223,mate mateIn4 middlegame queensideAttack sacrifice veryLong
Fb5PI,6k1/2R5/6p1/2b5/8/8/Pr3rPP/5RK1 w - - 2 37,f1f2 b2b1,1225,endgame mate mateIn1 oneMove pin
rT1Ru,3r2k1/1r4pp/8/p2p1PP1/2nR3P/q1NQ4/1PR5/1K6 w - - 0 34,c3d5 b7b2 c2b2 a3b2,1227,mate mateIn2 middlegame short
boQ1l,8/pp6/2bR2k1/5p2/r2P1K2/5P2/6P1/8 b - - 8 37,g6h5 g2g4 f5g4 f3g4 h5h4 d6h6,1229,endgame long mate mateIn3
x16OI,r1bqk2r/pp3ppp/4pn2/3p4/1bPP4/2N3P1/PP1B1P1P/R2QKB1R b KQkq - 0 9,d5c4 d1a4 c8d7 a4b4,1230,advantage fork opening short
y6HAl,3r4/p3r1kp/Qp4p1/5p2/2N5/PB5P/3q1PP1/5RK1 b - - 5 34,d2d3 f1d1 d3b3 d1d8 b3b1 g1h2,1231,advantage long middlegame skewer
vVtm6,1r3rk1/2p2pp1/B2p3p/1p4q1/PP2Pn2/1b3P2/1BQ3PP/RN3RK1 w - - 3 23,c2f2 f4h3 g1h1 h3f2,1231,crushing kingsideAttack middlegame pin short
YQLYn,6rk/5p2/7p/p2Q4/8/P2P3P/6PK/5r2 b - - 3 40,f1f2 d5d4 h8h7 d4f2,1233,crushing endgame fork queenRookEndgame short
tgri0,2r3k1/pbp2ppp/2n4q/2p1P3/6Q1/5N2/PP3PPP/3R2K1 b - - 0 18,c6e7 g4c8 e7c8 d1d8,1234,backRankMate mate mateIn2 middlegame sacrifice short
6PRNk,8/5pk1/2p4p/1p1r4/7P/3qQpP1/PP3P2/5RK1 w - - 2 31,e3f4 d3f1 g1f1 d5d1,1235,attraction endgame mate mateIn2 sacrifice short
YtEvN,r1b1k2r/ppp2ppp/2n1p3/4q3/1P2N3/P7/4PPPP/R2QKBNR w KQkq - 2 13,e4c5 e5c3 d1d2 c3a1,1235,crushing deflection opening short
KoAh3,6B1/p5b1/3R2bk/6pp/8/4B3/PPP3q1/1K1R4 w - - 2 29,g8f7 g2c2 b1a1 c2b2,1237,mate mateIn2 middlegame short
x07nH,r1b2rk1/pp2bppp/1q3n2/2np2B1/3N4/2PB1N2/PPQ2PPP/R3K2R w KQ - 1 12,d3h7 f6h7 g5e7 f8e8 e1g1 e8e7,1237,advantage long middlegame pin
JTcFJ,r1b1qrk1/ppppBppp/5N2/8/2n1P3/8/PP3PPP/R2Q1RK1 b - - 2 12,g7f6 d1g4 g8h8 e7f6,1239,intermezzo kingsideAttack mate mateIn2 middlegame short
gtn9e,r4rk1/1pp2p2/p4qp1/3bp2p/8/1P1P1P1P/1PP1Q1PN/R4RK1 w - - 0 18,a1a5 f6b6 f1f2 b6a5,1242,crushing fork middlegame short
pkrGW,rnbq1rk1/pp4bP/2p1p3/3pN3/3P4/2PBn3/PP3PP1/RN1QK2R b KQ - 0 12,g8h8 e5g6,1244,mate mateIn1 oneMove opening
0igng,4r3/6R1/5p2/p7/R6k/3b2B1/2r1pKP1/8 b - - 1 40,h4h5 a4h4,1245,endgame mate mateIn1 oneMove operaMate
LPQHy,r1b2rk1/1p3p1p/6p1/p2N4/2B2q1P/8/PQ3PP1/R5K1 b - - 1 23,f4c4 d5e7,1246,mate mateIn1 middlegame oneMove
sNTuJ,2r1r1k1/p2Q1p1p/6pP/1p6/5q2/8/PP3P2/1K1RR3 b - - 3 26,e8e1 d7c8 e1e8 c8e8,1247,endgame hangingPiece master mate mateIn2 short
AdQzD,2qr3k/5Rp1/p6p/2b5/2P4P/P4QP1/1P4K1/5R2 w - - 3 30,b2b4 d8d2 f1f2 d2f2 f3f2 c5f2,1248,advantage endgame fork long
1jjzA,rnb2rk1/ppp1ppbp/6p1/3qN3/3P4/7P/PPP1BPP1/R1BQK2R b KQ - 1 9,d5g2 e2f3 g2h1 f3h1,1250,crushing opening short trappedPiece
iCggb,6k1/3br3/3p2Q1/pp4N1/3q4/8/P4PP1/2R3K1 b - - 0 32,e7g7 c1c8 d7c8 g6e8,1251,endgame mate mateIn2 sacrifice short
xXx8i,2rqr3/5ppk/p4n1p/5N2/2ppP2P/P4P2/2PQ1P2/R4KR1 b - - 3 22,f6h5 g1g7 h5g7 d2h6 h7g8 h6g7,1252,long mate mateIn3 middlegame sacrifice
pDPYP,r1b1r1k1/pp4qp/4pbpQ/4N3/2pP4/P1N5/1PP2PP1/2KR3R w - - 2 20,g2g4 g7h6 h1h6 f6g5 c1b1 g5h6,1252,advantage attraction fork long middlegame
5MkMM,7r/pp6/3pk2p/2PRnR2/4P1p1/1P3p2/PK6/8 b - - 0 29,g4g3 d5d6 e6e7 f5e5,1254,crushing deflection endgame master short
arnKn,r1b2rk1/pp6/2n3Rp/8/7q/2N5/PP4QP/1K3R2 b - - 0 24,g8h7 g6g7 h7h8 f1f8,1255,mate mateIn2 middlegame short
PeQRb,rn2k2r/pQ3pp1/3qpnbp/1p6/3P2PP/8/PPP5/2KR1BNR b kq - 0 14,d6c6 f1b5 e8g8 b5c6,1256,advantage middlegame pin short
x71WR,8/pR3k2/1p1Kb3/4P1p1/6P1/5B2/rb6/2q5 b - - 1 47,f7g6 f3e4 e6f5 e4f5 g6h6 b7h7,1257,endgame long mate mateIn3 operaMate
nwTj5,3r1rk1/1bq2ppp/pp2pn2/2b5/2PB2NQ/1P1B4/P4PPP/3RR1K1 b - - 10 20,c5d4 g4f6 g7f6 h4h7,1257,kingsideAttack mate mateIn2 middlegame short
UdGmD,2r3k1/6p1/p1b1pp2/8/1q6/1P1P2B1/P1P2QPP/R5K1 w - - 5 27,f2e2 b4d4 g1h1 d4a1,1257,advantage endgame fork short
rklWE,r1b3k1/2pqB1pp/pb1p4/1p6/4P3/1N6/PPPQ2PP/2K2R2 b - - 0 22,d7e7 d2d5 e7e6 d5a8,1258,advantage fork middlegame short
MhC2c,3r4/5k2/p7/8/P7/7B/3r2P1/4R2K b - - 0 39,d2a2 h3e6 f7f6 e6a2,1259,advantage endgame fork short
aKRL8,k5r1/Rq6/2Q1p3/2PnB2r/3Pnp2/5N2/6PP/4RK2 b - - 0 32,a8a7 e1a1 b7a6 a1a6,1259,mate mateIn2 middlegame pillsburysMate short
ysJ0U,2r3k1/1p4bp/p3b1p1/2P2p2/1P2p3/P3B2P/4BPP1/1R4K1 w - - 0 22,e3c1 e6a2 b1b2 g7b2,1260,advantage endgame short trappedPiece
WaqEg,8/4B3/1R6/2Pk2pr/p5p1/P4bK1/7P/8 w - - 0 49,c5c6 h5h3 g3f2 h3h2 f2e3 h2e2 e3d3 e2e7,1262,crushing deflection endgame exposedKing skewer veryLong
KT86L,r1bq4/pp2k1Q1/2n1p1P1/3pp3/8/2P5/PP1N1rP1/2KR3R b - - 0 20,e7d6 d2e4,1267,mate mateIn1 middlegame oneMove pin
WweCn,6kr/6p1/pp3pp1/1q1n4/3P4/5Q2/PP1B1PPb/2R1K3 b - - 5 25,h2e5 c1c8 g8f7 c8h8,1271,advantage deflection middlegame short skewer
ivVLz,8/3RKpk1/5N2/r3P1p1/6P1/8/8/8 w - - 17 66,d7d8 a5e5 e7d7 g7f6,1273,crushing deflection endgame short
tcEeh,5r1k/p4pRp/bp6/2p1B3/4p3/1P2P1Q1/P5PP/3r2K1 w - - 0 25,g1f2 d1f1,1274,endgame mate mateIn1 oneMove operaMate
LBT14,r1b1k2r/1p1pbpp1/p6p/2pN4/2B1P1nq/8/PPP2PPP/R1BQR1K1 w kq - 6 12,f2f3 h4h2 g1f1 h2h1 f1e2 h1g2,1274,crushing deflection kingsideAttack long opening
TVKRe,1r4r1/q2kbR1p/B1p1p3/3p4/8/Q1P4P/P5P1/7K b - - 2 28,g8e8 a6c8 d7c8 a3a7 b8b1 h1h2,1277,advantage defensiveMove discoveredAttack long middlegame pin
ZGy2o,8/7p/3P1kp1/4R3/5B2/6P1/5PPK/3q4 b - - 0 33,d1d6 e5f5 f6f5 f4d6,1277,crushing discoveredAttack endgame short
A3TZ3,4brk1/2p4p/p3p1pn/1pq1N1NB/5R2/6QR/1P4PP/6K1 w - - 1 31,f4f2 c5c1 h5d1 c1d1 f2f1 f8f1,1278,kingsideAttack long mate mateIn3 middlegame
zEUkw,1k2r3/p1p5/8/3p1pNq/2nQ1K2/2P5/P7/1R3n2 b - - 1 42,b8a8 d4d5 c7c6 d5c6,1281,fork mate mateIn2 middlegame short
FlzPo,3rk2N/pp2b2p/1qb3p1/8/2p5/5Q2/PPP2nPP/RNB2R1K w - - 2 17,f3f2 b6f2 f1f2 d8d1 f2f1 d1f1,1281,fork long mate mateIn3 middlegame
4V7IH,r2qkb1r/pp1nnp2/2p1p2p/4Pb2/P2PNPp1/2N1B3/1PB3PP/R2Q1RK1 b kq - 3 15,h6h5 e4d6,1283,mate mateIn1 middlegame oneMove smotheredMate
xPRbh,r6r/p4P2/bqpk4/3p4/5N1Q/1Pp5/P6K/RN2R3 w - - 1 24,f4h5 h8h5 h4h5 b6f2 h2h1 f2e1,1288,crushing exposedKing fork long middlegame pin sacrifice
WJLo3,8/ppp1nk2/6p1/3rpr2/4NqQp/2PP1P2/PP5P/R5RK b - - 3 29,f4f3 g4f3 f5f3 e4g5 f7g7 g5f3,1289,advantage attraction fork long middlegame
WJ8LH,rn2k1nr/p1p3b1/1p2p2p/6p1/2Bq2N1/7N/PPP1QPbP/3RK2R b Kkq - 1 14,d4b2 e2e6 g8e7 e6f7,1290,mate mateIn2 middlegame short
4euFk,r2Qk2r/1pP2ppp/p3b3/4p3/8/8/PPP1BPqP/3RK2R b Kkq - 1 18,a8d8 c7d8q,1292,advancedPawn mate mateIn1 middlegame oneMove promotion
X6nIt,r5k1/pp1nbp1p/2p3p1/4P3/1P3Pb1/2N4P/P1P1N1B1/2KR4 b - - 0 19,g4e2 d1d7 e7b4 c3e2,1293,advantage hangingPiece intermezzo master masterVsMaster middlegame short
s3Z2N,r3r2k/p6p/2p5/8/3P2R1/1P6/PB5P/7K b - - 2 32,h7h6 d4d5 h8h7 g4g7,1293,advantage discoveredAttack discoveredCheck endgame short
BSn1c,4rrk1/p1p5/1pN4p/3R2p1/2n2P2/2P3P1/P1P3P1/5RK1 w - - 3 26,f4g5 f8f1 g1f1 c4e3 f1g1 e3d5,1295,attraction crushing endgame fork long
jzHOK,1r1q3r/4bpk1/2p1p1pR/1p4P1/3PQP2/pPPB4/P7/2K4R b - - 3 23,d8c7 h6g6 f7g6 e4g6 g7f8 h1h8,1296,deflection long mate mateIn3 middlegame sacrifice
z1uvv,3r2k1/2p1bpp1/p1R2n1p/1p6/1P6/P3PN1P/1B3PP1/6K1 w - - 0 23,c6c7 d8d1 g1h2 e7d6 b2e5 d6c7,1297,advantage endgame fork long
33cZY,2kr1b1r/pp2qppp/2p1b3/3P3n/8/2NQ3P/PP2NPP1/R1B2RK1 b - - 0 15,e6d5 d3f5 e7e6 f5h5,1298,advantage fork opening short
jo2ZJ,8/8/8/5p1p/6kP/4R3/r4PK1/8 w - - 7 49,e3h3 a2f2 g2f2 g4h3 f2f3 h3h4,1300,crushing deflection endgame long rookEndgame
uIbkO,rnbqkb1r/ppp3pp/4pn2/3P1p2/2P1pP2/2N5/PP4PP/R1BQKBNR b KQkq - 0 6,f8b4 d1a4 c7c6 a4b4,1301,advantage fork master opening short
WitlR,6k1/1pr5/3P4/1P2qP2/p7/P2QKB2/8/8 w - - 0 49,f3e4 c7c3 d3c3 e5c3,1302,crushing endgame master pin short
1wEYY,5r1k/p2qr1p1/1pp1p1QR/8/3P2RP/6P1/PP3P2/6K1 b - - 0 30,g7h6 g6h6 e7h7 h6f8,1303,endgame fork mate mateIn2 short
Pp7zY,1rb2rk1/p3ppbp/2p3p1/q2P4/4n3/1PN1B3/P1PQBPPP/2KR3R w - - 1 13,c3e4 a5a3 c1b1 a3b2,1303,mate mateIn2 middlegame queensideAttack short
fJv8k,4r1k1/3Rbpp1/2P4p/p7/r7/4P2P/5PP1/2R3K1 b - - 0 38,e7a3 c6c7 a3c1 d7d8 e8d8 c7d8q,1304,advancedPawn crushing endgame long promotion sacrifice
vwN1v,8/5pk1/4pbp1/2B4p/7P/5qP1/Q3NK2/5B1b w - - 1 40,f2e1 f6c3 e2c3 f3c3 a2d2 c3c5,1304,crushing exposedKing fork long middlegame
PPotU,4rr1k/7p/2p3pP/8/1q1P2Q1/1P1R1pP1/p1P2P2/K6R w - - 6 33,d3f3 e8e1 h1e1 b4e1 a1a2 f8a8 a2b2 e1a1,1308,endgame exposedKing mate mateIn4 veryLong
PIxmi,3r1k2/5p1r/2R3pp/4Q3/6bP/P1K1R3/1PP5/5q2 b - - 7 33,f1f5 e5e7 f8g7 e7d8,1313,crushing fork master middlegame short
