PuzzleId,FEN,Moves,Rating,Themes
4irZQ,3k1r2/1p6/1n1P1q1p/QN4p1/P3p3/1P2b3/6PP/R4RK1 w - - 1 32,g1h1 f6f1 a1f1 f8f1,504,backRankMate mate mateIn2 middlegame short
2SCmM,7R/pp4p1/1b1Bp1k1/1r2P2P/4pK2/P7/8/8 b - - 0 34,g6f7 h8f8,504,endgame mate mateIn1 oneMove operaMate
70xfg,N1bk3r/1p1p1pp1/3b3p/3pq3/p3n3/3B4/PPQ2PPP/R1B2RK1 w - - 2 17,h2h3 e5h2,505,mate mateIn1 middlegame oneMove
Dg69M,3r3k/p5pp/1p6/8/2R5/1K6/1P3P2/8 b - - 0 41,d8d2 c4c8 d2d8 c8d8,505,backRankMate endgame mate mateIn2 rookEndgame short
HWOdz,8/4qppk/p1Qb3p/1p2r3/3N4/2P3Pb/PP3P1P/R3R1K1 w - - 4 26,c6f3 e5e1 a1e1 e7e1,509,kingsideAttack master mate mateIn2 middlegame short
fQCgc,8/7k/1R4p1/5p1p/5R1P/4P1P1/r1r2PK1/8 w - - 4 43,g2f3 c2f2,514,endgame epauletteMate master mate mateIn1 oneMove rookEndgame
E3PMs,r2q1rk1/ppp2pb1/5np1/4p1N1/6bP/4PQB1/PPP2P2/RN2K2R w KQ - 3 14,f3g2 d8d1,515,mate mateIn1 oneMove opening
9XREK,k7/8/1R1N4/3r4/8/P3n1P1/7P/7K w - - 1 43,d6c4 d5d1,517,endgame mate mateIn1 oneMove
SChGQ,rn1qr1k1/1pp2ppp/p2p4/3P2b1/3N4/8/PPP1QPPP/1K1RR3 b - - 1 13,b7b5 e2e8 d8e8 e1e8,519,backRankMate mate mateIn2 middlegame short
C5Zlr,1Q4k1/pp3rpp/2q1p3/3p4/4n2P/1P2P3/P1P3P1/5RK1 b - - 1 25,f7f8 b8f8,523,endgame mate mateIn1 oneMove
dnXcz,r1bq1k1r/pp3Pb1/3B3p/6pn/8/P1pP4/1PP1QPPP/R3KB1R b KQ - 2 14,d8d6 e2e8,527,mate mateIn1 middlegame oneMove
LIsjw,3Q3k/2q3pp/p4p2/4p3/8/6P1/1r5P/3R1B1K b - - 0 39,c7d8 d1d8,528,backRankMate endgame master mate mateIn1 oneMove
TMG5j,1k2Qr2/ppp3p1/3q4/8/2p5/8/PPP4P/4R2K b - - 2 33,f8e8 e1e8 d6d8 e8d8,529,backRankMate endgame mate mateIn2 queenRookEndgame short
3C1EK,r3r1k1/2p2ppb/pb5p/1p6/1P2p3/P4Nq1/3NQPP1/3RR1K1 b - - 1 26,e4f3 e2e8 a8e8 e1e8,536,backRankMate mate mateIn2 middlegame short
dYwCF,r2q1rk1/pp1n1ppp/1n6/3P4/3Q2b1/P5P1/1B2NPBP/R4RK1 b - - 2 17,g4e2 d4g7,543,kingsideAttack mate mateIn1 middlegame oneMove
zMLO6,r4rk1/p3nppp/2p1p1b1/2qpP3/1p4P1/P4Q1P/1PP2PN1/2KR1B1R w - - 0 17,a3b4 c5c2,556,mate mateIn1 middlegame oneMove queensideAttack
tBSYt,r2qk2r/1ppbppbn/p5p1/n2QP2p/P6P/2N1BP2/BPP1N1P1/R3K2R b KQkq - 2 13,a5c6 d5f7,564,attackingF2F7 master mate mateIn1 middlegame oneMove
FbB6e,3r3k/1R3Q2/8/P1P2pp1/5q1p/5r1n/3p2P1/3R1K2 w - - 0 51,g2f3 f4f3,564,endgame mate mateIn1 oneMove
JO0X0,4r1k1/pp3ppp/7n/4Q3/6P1/5P1P/PP6/3R2K1 b - - 0 24,e8e5 d1d8 e5e8 d8e8,565,backRankMate endgame mate mateIn2 short
oo1W3,3r2k1/ppb1Qp1p/2p3p1/8/P2PPq2/2P2B2/6PP/1R5K w - - 6 28,b1f1 f4h2,566,endgame kingsideAttack mate mateIn1 oneMove
TIZfU,r2q1rk1/pp1n1ppp/2n1p3/3p2N1/1P3P2/P1NQ4/2P2PPP/R3R1K1 b - - 2 15,h7h6 d3h7,567,mate mateIn1 middlegame oneMove
1da9y,8/6k1/R5Np/7P/1K6/pP6/8/7r w - - 6 52,b4a3 h1a1 a3b4 a1a6,569,advantage endgame master short skewer
ae4IJ,4r1k1/3r2pp/p4p2/1p1p1R2/2pP4/2N3B1/PPP3PP/7K w - - 2 25,f5f2 e8e1 f2f1 e1f1,572,backRankMate endgame mate mateIn2 short
kVH0T,r2qk2r/pp3pp1/3bpnp1/3pN3/3P1Q2/2PB4/PP3PPP/R3K2R b KQkq - 4 14,f6d7 f4f7,574,attackingF2F7 mate mateIn1 middlegame oneMove
e1PGJ,r2Q2kr/p3Bppp/n7/1Bp5/8/8/P1q2PPP/3RK1NR b K - 2 16,a8d8 d1d8,585,backRankMate mate mateIn1 middlegame oneMove
UPeQs,r1b3k1/pp4np/1q2p1pB/8/1P6/2b2QP1/P5BP/5R1K b - - 1 22,b6c7 f3f8,591,mate mateIn1 middlegame oneMove
2h13e,5rk1/1p3r1p/p2b2pP/3p2B1/4p1b1/2P5/PP2B1P1/R4N1K w - - 1 29,e2g4 f7f1 a1f1 f8f1,592,kingsideAttack mate mateIn2 middlegame pillsburysMate short
FrPL7,3r1r1k/1pp3p1/p6p/2R1n3/8/4P3/PP2R1PP/6K1 w - - 0 25,c5e5 d8d1 e2e1 d1e1,601,endgame mate mateIn2 rookEndgame short
2CIFC,r5k1/5ppp/8/r2bpP2/2P3PP/1p6/1N1R1R2/1K6 w - - 3 36,d2d5 a5a1,603,endgame mate mateIn1 oneMove
3sa2M,5rk1/3p1ppn/3N3p/q7/2P1P3/8/5PPP/3QR1K1 w - - 1 25,d1b3 a5e1,604,endgame hangingPiece mate mateIn1 oneMove
QoKBn,8/3Q2k1/pp3q2/2p1b1p1/8/6PP/2B1n1PK/8 b - - 12 47,g7h6 d7h7,604,endgame mate mateIn1 oneMove
8Atbm,3r1rk1/pp3ppp/3qp3/7b/2PnQ3/5N1P/P1B2PP1/R1B1R1K1 b - - 1 19,h5f3 e4h7,605,kingsideAttack master mate mateIn1 middlegame oneMove
YT6TZ,r2q1knr/ppp3pp/1b1p4/7Q/4bP2/1BP5/P5PP/RNB2R1K b - - 3 15,g8f6 h5f7,605,mate mateIn1 middlegame oneMove
1d9Sc,r4rk1/1bq2ppp/p3pbn1/1p1p4/5N2/3B3Q/PPP2PPP/1R2R1K1 b - - 3 19,g6f4 h3h7,606,kingsideAttack master mate mateIn1 middlegame oneMove
gBf5g,2b2rk1/6rR/2p1pq2/1p6/4Q3/pP1B4/P1P2PP1/2KR4 b - - 0 23,g7h7 e4h7,608,master mate mateIn1 middlegame oneMove
2hy14,6k1/pp2qpbp/2pr2p1/2N5/2P2P2/1P3Q2/P5PP/3R3K w - - 0 26,d1d6 e7e1 f3f1 e1f1,613,endgame mate mateIn2 short
0vawh,6k1/r4ppp/4p3/3p4/1P1P4/1bp1P3/2R2PPP/1Q4K1 w - - 0 33,b1b3 a7a1 c2c1 a1c1 b3d1 c1d1,615,backRankMate endgame long mate mateIn3 queenRookEndgame
S2NTp,3q2k1/p4ppp/1p2p3/2p1Pn1P/8/5Q2/PPP2P2/2K2B2 b - - 3 26,d8c7 f3a8 c7b8 a8b8,616,backRankMate endgame mate mateIn2 short
OA6Vv,3r4/8/2B2k2/1P2p3/1b4P1/1P1K3P/4R3/8 w - - 5 55,d3c4 d8d4,617,endgame master mate mateIn1 oneMove pillsburysMate
